subject,start,end,organizer,required attendees,optional attendees
Doctrinal Council — Crete,2025-10-24 18:30:00,2025-10-24 20:00:00,Job,Enoch;Zedekiah;Moses;Archippus;Jethro;Zephaniah;Fortunatus;Simon_Zealot,
Church Planting Review — Babylon,2025-10-25 09:00:00,2025-10-25 09:45:00,Solomon,Anna_Prophetess;Zenas;Jehu;Andronicus;Prochorus;Omri;Nehemiah;James_Alphaeus;Noah,Daniel_Friend_Shadrach;Nahum;Huldah;Aristarchus;Eutychus
Battle Strategy Session — Malta,2025-10-26 07:45:00,2025-10-26 10:45:00,Mark,Abigail;Thaddaeus;Jehoshaphat;Cleopas;Erastus,Gaius_Derbe
Doctrinal Council — Patmos,2025-10-26 15:30:00,2025-10-26 18:00:00,Moses,Bezaleel;Bartholomew;Ephraim;Joshua;Omri;Nicanor;Parmenas;Ahab;Phoebe;Zipporah,Abraham;Issachar
Apostolic Letter Review — Bethlehem,2025-10-26 16:30:00,2025-10-26 20:30:00,Peter,Luke;Nathan;Simon_Zealot,
Sacrifice Order Briefing — Pergamum,2025-10-26 18:45:00,2025-10-26 20:15:00,Aquila,Eutychus;Elisabeth;Abigail;Andrew;Matthew,Gaius_Derbe;Abraham;Daniel_Friend_Shadrach
Sacrifice Order Briefing — Smyrna,2025-10-27 08:00:00,2025-10-27 09:00:00,Caius,Onesiphorus;Noah;Enoch;Ephraim,Trophimus;Huldah;Gad;Bathsheba;Bezaleel
Widow's Care Logistics — Tiberias,2025-10-27 09:30:00,2025-10-27 11:00:00,Manasseh_King,Justus;Carpus;Haggai;Ezekiel;Saul;Dan,John
Elders Meeting — Crete,2025-10-28 09:30:00,2025-10-28 11:00:00,Paul,Ahab;Agabus;Elisha;Abigail;Quartus;Daniel_Friend_Abednego;Naphtali;Ephraim;Caleb;Lydia;Epaphroditus,Joshua;Rebekah
Apostolic Letter Review — Caesarea,2025-10-28 15:30:00,2025-10-28 17:00:00,Timothy,Tabitha;Zechariah;Zipporah;Demas;Hezekiah;Daniel_Friend_Abednego;Zacharias;Zenas,Luke;Tychicus;Trophimus;Mark
Vision Interpretation Session — Patmos,2025-10-29 14:00:00,2025-10-29 17:00:00,James_Zebedee,Enoch;Crescens;James_Alphaeus,Nahum;Bezaleel;Joel
Prophetic Word Hearing — Ramah,2025-10-30 19:30:00,2025-10-30 21:00:00,John,Rehoboam;Samuel;Sopater;Titus,Apphia;Caius;Epaphras;Secundus
Priestly Rotation Review — Shiloh,2025-10-31 07:45:00,2025-10-31 10:45:00,Matthias,Linus;Zephaniah;Zacharias;Saul;Chloe;Asa;Manasseh;Issachar;Ahab,Andrew;Bathsheba;Naomi;Jezebel
Battle Strategy Session — Dan,2025-10-31 14:00:00,2025-10-31 17:00:00,Barnabas,Zebulun;Apphia;Esau;Andrew;Bartholomew;Manasseh;Ephraim;Timothy;Sopater;Rebekah;Nicolas,Miriam;Samson;Fortunatus;Zipporah;Jeroboam
Temple Service Planning — Bethsaida,2025-11-01 09:00:00,2025-11-01 13:00:00,Silas,Jephthah;Prochorus;Adam;Miriam;Zenas;Huldah,Simeon
Letter Dictation — Ramah,2025-11-01 14:30:00,2025-11-01 16:00:00,Paul,Ruth;Eli;Titus;Lucius;Leah,Erastus;Andrew;Caleb;Demas
Judges Assembly — Sardis,2025-11-01 16:15:00,2025-11-01 20:15:00,Paul,Achaicus;Quartus;Stephanas;Zipporah;Silas,Uzziah;Daniel;Gad_Prophet
School of Prophets — Ephesus,2025-11-02 07:30:00,2025-11-02 11:30:00,Moses,Epaphroditus;Peter;Nathan;Zerubbabel;Crispus;Gad_Prophet;Nahum;Hezekiah;Ezra,Philemon;Anna
Baptism Service Coordination — Dan,2025-11-02 08:45:00,2025-11-02 10:45:00,David,Moses;Dan,
Baptism Service Coordination — Rome,2025-11-02 10:00:00,2025-11-02 14:00:00,Samuel,Linus;Miriam;Dan;Joseph_OT;Sarah;Daniel_Friend_Meshach;Nahum;Damaris;Benjamin;Joshua;Philip;Rachel,Malachi;Demas;Fortunatus
Covenant Renewal Ceremony — Miletus,2025-11-02 16:00:00,2025-11-02 17:30:00,Elijah,Erastus;Eli;Ephraim;Zebulun;Noah;Onesimus;Nymphas;Reuben;Carpus;Jason,Eleazar;Achaicus
Priestly Rotation Review — Crete,2025-11-03 13:30:00,2025-11-03 14:00:00,Paul,Gad;Naomi;Omri;Gideon;Jezebel;Naphtali;Ham;Abigail;Ehud;Job;Mary,Micah;Dionysius;Eutychus
Famine Relief Coordination — Alexandria,2025-11-05 10:30:00,2025-11-05 14:30:00,Jeremiah,Rebekah;Gad;Daniel;Manaen;Bartholomew;Huldah;Philemon;Nymphas;Amos,Elisabeth;Tabitha;Jephthah;Andrew
Day of Atonement Briefing — Hierapolis,2025-11-05 14:00:00,2025-11-05 15:00:00,Zebulun,Boaz;Amos;Junia;Ehud,Ham;Sopater;Joseph_NT
Vision Interpretation Session — Nazareth,2025-11-05 14:30:00,2025-11-05 15:30:00,Benjamin,Aholiab;Daniel_Friend_Abednego;Agabus;Dan;Judah;Asa;Secundus;Nicolas;Rufus;Lydia;Aristarchus;Simeon_Temple,Jason;Jethro;Sopater;Leah;Demas
Apostolic Letter Review — Samaria,2025-11-05 15:00:00,2025-11-05 17:30:00,David,Gad;Timon;Jephthah;James_Alphaeus,Eli;Samson;Saul
Church Planting Review — Hierapolis,2025-11-06 13:00:00,2025-11-06 14:00:00,Crispus,Crescens;Leah;Andronicus;Josiah;Justus,Demetrius
Elders Meeting — Caesarea,2025-11-06 13:15:00,2025-11-06 14:15:00,Simeon,Apphia;Silas;Bathsheba;Seth;Jonathan;Cornelius,John_Baptist;Aaron;Hosea
Passover Preparation — Troas,2025-11-06 14:30:00,2025-11-06 17:30:00,Elisabeth,Peter;Aaron;Jehoshaphat;Bathsheba;Ephraim;Esther;Habakkuk;Barak;Noah;Naomi,Damaris;Nathan;Shem
Sanhedrin Hearing — Lystra,2025-11-06 18:30:00,2025-11-06 19:30:00,Rachel,Caleb;Damaris;Phinehas,Philemon
Collection for the Saints — Shechem,2025-11-06 19:00:00,2025-11-06 19:45:00,Silas,Ezekiel;Peter;Deborah;Gideon;Zerubbabel;Samson;Apphia;Jethro,Bathsheba;Mark;Saul;Apollos;Manasseh
Census Review — Beersheba,2025-11-07 07:15:00,2025-11-07 08:15:00,Paul,Issachar;Bathsheba,Luke;Demetrius;Philip_Deacon;Zerubbabel;Apphia
Feast of Tabernacles Planning — Nineveh,2025-11-09 09:30:00,2025-11-09 10:15:00,Silas,Nehemiah;Zerubbabel;Andronicus;Deborah;Joseph_Barsabas;Aquila;John;Nymphas;Benjamin,Miriam
Tabernacle Service Coordination — Jericho,2025-11-09 09:45:00,2025-11-09 13:45:00,John,Eutychus;Zenas;Shamgar;Onesiphorus;Daniel_Friend_Shadrach,Rehoboam;Anna_Prophetess;Bathsheba
Synagogue Teaching Plan — Mizpah,2025-11-10 10:45:00,2025-11-10 13:15:00,Daniel,Sarah;Onesiphorus;Habakkuk;Micah;Nicolas;Dionysius;Miriam;Elisha;Apphia;Jason;Stephen;Lydia,Jeroboam;Joseph_Barsabas;Obadiah;Naomi;Benjamin
Missionary Strategy Session — Nineveh,2025-11-10 14:30:00,2025-11-10 18:30:00,Moses,Eutychus;Sosthenes;Aristarchus;Philip;James_Alphaeus;Obadiah;Gaius_Derbe;Jethro;Jonah;Barak;Uzziah,Jezebel;Mark;Boaz;Amos;Esau
Breaking of Bread — Philippi,2025-11-11 08:15:00,2025-11-11 09:45:00,Titus,Mordecai;Justus;Miriam;Sosthenes;Ahab;James_Zebedee;Job;Enoch;Ruth;Omri;Amos;Gad,Zedekiah;Habakkuk;Rehoboam;Barak;Paul
Widow's Care Logistics — Mount_Carmel,2025-11-14 08:00:00,2025-11-14 09:30:00,Paul,Joseph_Barsabas;Omri,Miriam
Passover Preparation — Athens,2025-11-14 09:30:00,2025-11-14 11:00:00,Ezekiel,Demetrius;Barnabas;Sarah;Joshua;Parmenas;Naphtali;Obadiah;Achaicus;Aristarchus;Matthias,Jephthah;Simon_Zealot;Miriam;Mark
Trial Preparation — Cyprus,2025-11-14 19:00:00,2025-11-14 20:30:00,Rebekah,Jeroboam;Junia;Phinehas;Mordecai,Mark;Abraham;Omri
Temple Service Planning — Dan,2025-11-15 10:45:00,2025-11-15 11:45:00,Job,Justus;Paul;Parmenas,Gideon
Sanhedrin Hearing — Troas,2025-11-16 09:00:00,2025-11-16 13:00:00,Josiah,Dan;Eli;Priscilla;Epaphras;Rufus;Leah;Gaius_Derbe;Joseph_Barsabas;Samuel;Paul;Nicolas;Shem,Caleb;Apphia;Jason;Jonathan
Widow's Care Logistics — Hebron,2025-11-16 11:15:00,2025-11-16 13:15:00,David,Jephthah;Samuel;Carpus;Lydia;Tabitha;Bezaleel;Jehoshaphat;Aaron;Caleb;Mary,Isaac;Amos;Solomon;Othniel
Sanhedrin Hearing — Thessalonica,2025-11-17 08:30:00,2025-11-17 11:00:00,Solomon,Paul;Silas;Caleb;Zipporah;Barnabas;Tabitha;James_Alphaeus,Simon_Zealot;Damaris;Bartholomew
Covenant Renewal Ceremony — Ramah,2025-11-17 13:00:00,2025-11-17 14:30:00,Paul,Bartholomew;Junia;Simeon_Temple;Gaius_Derbe;Luke;Zacharias;Manasseh_King,
Elders Meeting — Patmos,2025-11-18 09:20:00,2025-11-18 11:50:00,Apollos,Bezaleel;Demas;Phinehas,
Missionary Strategy Session — Joppa,2025-11-18 16:15:00,2025-11-18 20:15:00,Crispus,Archippus;Matthew;Elijah;Hezekiah;Junia;Habakkuk;Nathan;Abigail;Bartholomew;Onesimus;Haggai;Shem,Zipporah;Dionysius
Scribal Workshop — Gilgal,2025-11-19 15:45:00,2025-11-19 19:45:00,Shem,Nymphas;Othniel;Junia;Caleb;Phinehas;Daniel_Friend_Meshach;Gaius_Derbe;Elijah;Rachel;Cornelius;Zerubbabel;Archippus,Manasseh_King;Lucius;Matthew;Prochorus
Church Planting Review — Philippi,2025-11-20 08:00:00,2025-11-20 09:00:00,Miriam,Simeon;Secundus;Timothy;Philemon;Isaac,Esther;Judah;Anna
Letter Dictation — Ramah,2025-11-20 13:00:00,2025-11-20 17:00:00,Bartholomew,Joseph_Barsabas;Nicanor;Solomon,Epaphroditus;Stephen;Matthias
Discipleship Training — Rome,2025-11-20 19:00:00,2025-11-20 21:30:00,Joshua,Shamgar;Daniel;Saul;Thaddaeus;Huldah;James_Zebedee;Ahab;Barnabas,
Farewell Address — Thessalonica,2025-11-21 07:30:00,2025-11-21 09:30:00,Eleazar,Crispus;Lucius;Sosthenes;Parmenas;Eli;Bathsheba;Jason,Philip_Deacon
Royal Court Session — Caesarea,2025-11-21 13:30:00,2025-11-21 14:30:00,Rachel,Timon;Simeon;Onesiphorus,Nehemiah;Erastus
School of Prophets — Cana,2025-11-21 14:00:00,2025-11-21 15:30:00,Paul,Justus;Judah;Priscilla;Zechariah;Rachel;Luke;Achaicus;Ezra;Leah;Manasseh;Daniel_Friend_Abednego,Ruth
Watchman Report — Sardis,2025-11-21 14:20:00,2025-11-21 16:20:00,Zebulun,Onesimus;Erastus;Jezebel;Timon;Mark,Cleopas
Tribal Council — Derbe,2025-11-22 09:20:00,2025-11-22 10:50:00,Moses,David;Aaron;Reuben;Adam;Othniel;Epaphroditus;Miriam;Joseph_Barsabas;Asher;Zedekiah;Abigail,Joshua;Mark;Abraham;Zenas;Stephen
Baptism Service Coordination — Derbe,2025-11-22 13:00:00,2025-11-22 17:00:00,Achaicus,Paul;Rebekah;Zipporah,Dionysius;Sopater;Aaron;Micah;Japheth
Covenant Renewal Ceremony — Rome,2025-11-22 14:45:00,2025-11-22 16:15:00,Habakkuk,Daniel;Bezaleel;Carpus;Japheth;Ephraim;Silas;Bathsheba,
Judges Assembly — Mount_Horeb,2025-11-23 10:00:00,2025-11-23 10:45:00,Barnabas,Simeon_Temple;Nicanor;Daniel_Friend_Meshach;Deborah;Zerubbabel;Manasseh;Malachi,
Widow's Care Logistics — Babylon,2025-11-25 10:00:00,2025-11-25 11:30:00,Quartus,Adam;Lydia;Secundus;Ruth;Solomon;Obadiah,Stephanas
Baptism Service Coordination — Lystra,2025-11-25 14:00:00,2025-11-25 15:30:00,Nehemiah,Issachar;Aholiab;Manaen;Ezra;Zechariah;Zipporah;Miriam;Jonathan;James_Zebedee,Matthew;Seth;Uzziah;Barnabas;Zerubbabel
Feast of Tabernacles Planning — Antioch,2025-11-26 07:15:00,2025-11-26 08:15:00,Paul,Haggai;Daniel_Friend_Shadrach;David;Naomi;Samson;Seth;Mordecai;Enoch;Simeon,Job;Isaac;Carpus;Joshua;Aholiab
Missionary Strategy Session — Joppa,2025-11-26 09:45:00,2025-11-26 11:15:00,Elisha,Elisabeth;Barnabas;Thomas,Uzziah;Damaris;Rebekah;Lydia;Demas
Sanhedrin Hearing — Nineveh,2025-11-26 10:15:00,2025-11-26 11:15:00,Joshua,Asher;Abraham;Stephen;John;Japheth;Carpus;Phoebe;Malachi;Omri;Zedekiah;Ephraim;Paul,Manasseh_King;Zerubbabel;Joseph_OT;Ezra;Sopater
School of Prophets — Ramah,2025-11-26 13:15:00,2025-11-26 15:15:00,Samson,Joshua;Solomon;Mary;Priscilla;Rachel;Jeroboam;Boaz;Samuel;Sopater;Epaphroditus,Judah;Timon;Barnabas
Land Inheritance Meeting — Ur,2025-11-27 07:45:00,2025-11-27 08:15:00,Elijah,Apphia;Nicanor;Boaz;Crescens;Judah;Agabus;Levi;Abraham;Fortunatus;Philip,Nymphas;Jethro;Nehemiah;Ruth;Phoebe
Missionary Strategy Session — Troas,2025-11-27 09:30:00,2025-11-27 10:30:00,Timothy,Shem;Epaphroditus;Linus,Matthew;Daniel_Friend_Abednego
Day of Atonement Briefing — Tarsus,2025-11-27 19:00:00,2025-11-27 20:30:00,Caleb,Daniel_Friend_Meshach;Demetrius;Daniel_Friend_Abednego;Demas;Lucius;Sopater;Andrew;Ahab;Asa;Uzziah;Moses;Hosea,Naphtali;Manasseh
Battle Strategy Session — Antioch,2025-11-29 08:15:00,2025-11-29 09:45:00,Stephen,Justus;Joel;John;John_Baptist,Habakkuk;Benjamin;Manaen;David;Zacharias
Tabernacle Service Coordination — Athens,2025-11-29 10:45:00,2025-11-29 12:15:00,Enoch,Priscilla;Daniel_Friend_Abednego;Obadiah;Naomi;Fortunatus;Zerubbabel,Jethro;Rufus;Jacob;Onesimus
Deacon Selection — Lystra,2025-11-30 13:15:00,2025-11-30 16:15:00,Aristarchus,Eleazar;Philip;Benjamin;Naomi;Epaphroditus,
